"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"ADBE","Adobe Systems Incorporated","41.48","20804211828.12","n/a","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe",
"ADTN","ADTRAN, Inc.","21.09","1321730672.94","n/a","1994","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/adtn",
"AEIS","Advanced Energy Industries, Inc.","19.51","762826465.05","n/a","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis",
"ADVS","Advent Software, Inc.","26.57","1333681123.43","n/a","1995","Technology","EDP Services","http://www.nasdaq.com/symbol/advs",
"AVCA","Advocat, Inc.","5.34","31744762.08","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/avca",
"AEGR","Aegerion Pharmaceuticals, Inc.","37.14","1066440856.92","n/a","2010","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aegr",
"AEGN","Aegion Corp","25.54","994848407.94","n/a","2000","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/aegn",
"AEHR","Aehr Test Systems","0.8001","7491325.8987","n/a","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aehr",
"AEPI","AEP Industries Inc.","73.22","405157232.06","n/a","1986","Capital Goods","Specialty Chemicals","http://www.nasdaq.com/symbol/aepi",
"AVAV","AeroVironment, Inc.","19.3","432594581.1","n/a","2007","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/avav",
"AEZS","AEterna Zentaris Inc.","2.03","51418454.64","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aezs",
"ATRM","Aetrium Incorporated","0.737","7945929.387","n/a","1993","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/atrm",
"AFCE","AFC Enterprises, Inc.","33.52","801734209.2","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/afce",
"AFFY","Affymax, Inc.","3.01","111870590.09","n/a","2006","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/affy",
"AFFX","Affymetrix, Inc.","4.62","328267267.02","n/a","1996","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/affx",
"AGEN","Agenus Inc.","4.43","108985185.46","n/a","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agen",
"AGYS","Agilysys, Inc.","9.5","210301319.5","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/agys",
"AIRM","Air Methods Corporation","49.3","1913625644.8","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/airm",
"AIRT","Air T, Inc.","9.5784","23431505.8224","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","5.91","379008630.96","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/atsg",
"AMCN","AirMedia Group Inc","2.08","130257499.84","n/a","1995","Technology","Advertising","http://www.nasdaq.com/symbol/amcn",
"AIXG","Aixtron SE","13.98","1424674357.26","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aixg",
"AKAM","Akamai Technologies, Inc.","35.6","6332605999.6","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam",
"AKRX","Akorn, Inc.","14.33","1374550967.96","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akrx",
"ALSK","Alaska Communications Systems Group, Inc.","1.79","82019441.43","n/a","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alsk",
